order_id,order_timestamp,customer_id,product_id,product_name,category,qty,unit_price,discount_pct,region
ORD2025032100000,2025-03-21T00:57:42,C12054,P003,Yoga Mat,Fitness,3,26.04,0.0,East
ORD2025032100001,2025-03-21T08:18:50,C38861,P005,Cotton T-Shirt,Apparel,1,19.62,0.1,East
ORD2025032100002,2025-03-21T04:00:50,C39328,P011,Bluetooth Speaker,Electronics,1,65.28,0.0,East
ORD2025032100003,2025-03-21T08:46:33,C26601,P003,Yoga Mat,Fitness,1,20.05,0.05,North
ORD2025032100004,2025-03-21T09:08:26,C30411,P009,Notebook A5,Stationery,2,8.57,0.05,South
ORD2025032100005,2025-03-21T07:05:23,C21986,P010,Gel Pen Set,Stationery,3,5.81,0.05,North
ORD2025032100006,2025-03-21T03:03:45,C38351,P010,Gel Pen Set,Stationery,1,5.51,0.0,South
ORD2025032100007,2025-03-21T07:12:24,C49554,P011,Bluetooth Speaker,Electronics,2,72.76,0.0,South
ORD2025032100008,2025-03-21T02:39:49,C07544,P008,Olive Oil 500ml,Grocery,3,10.89,0.15,North
ORD2025032100009,2025-03-21T05:57:39,C22593,P010,Gel Pen Set,Stationery,1,6.72,0.15,South
ORD2025032100010,2025-03-21T00:10:40,C28508,P006,Denim Jeans,Apparel,1,63.32,0.0,West
ORD2025032100011,2025-03-21T13:23:56,C34352,P005,Cotton T-Shirt,Apparel,1,19.35,0.05,West
ORD2025032100012,2025-03-21T09:44:30,C08731,P002,USB-C Cable,Electronics,2,14.51,0.05,South
ORD2025032100013,2025-03-21T22:50:50,C15964,P011,Bluetooth Speaker,Electronics,1,53.31,0.05,South
ORD2025032100014,2025-03-21T12:58:40,C30947,P006,Denim Jeans,Apparel,2,44.03,0.0,East
ORD2025032100015,2025-03-21T07:41:29,C27677,P012,Running Shoes,Apparel,1,69.2,0.0,North
ORD2025032100016,2025-03-21T20:11:54,C14105,P011,Bluetooth Speaker,Electronics,1,82.38,0.0,West
ORD2025032100017,2025-03-21T15:02:26,C36312,P002,USB-C Cable,Electronics,2,15.65,0.0,West
