order_id,order_timestamp,customer_id,product_id,item_name,category,qty,unit_price,discount_pct,region,channel
ORD2025032200000,2025-03-22T22:47:44,C35209,P012,Running Shoes,Apparel,1,84.3,0.2,East,mobile
ORD2025032200001,2025-03-22T21:41:00,C27460,P012,Running Shoes,Apparel,1,106.11,0.0,South,web
ORD2025032200002,2025-03-22T05:59:55,C03540,P001,Wireless Mouse,Electronics,1,39.83,0.0,East,web
ORD2025032200003,2025-03-22T11:02:54,C36655,P006,Denim Jeans,Apparel,1,55.29,0.0,North,web
ORD2025032200004,2025-03-22T02:53:51,C27948,P001,Wireless Mouse,Electronics,2,28.7,0.0,North,mobile
ORD2025032200005,2025-03-22T16:08:27,C19755,P010,Gel Pen Set,Stationery,2,5.16,0.05,West,web
ORD2025032200006,2025-03-22T01:28:00,C26710,P006,Denim Jeans,Apparel,1,55.18,0.05,North,web
ORD2025032200007,2025-03-22T19:42:49,C31259,P002,USB-C Cable,Electronics,1,8.91,0.2,South,mobile
ORD2025032200008,2025-03-22T04:06:37,C20210,P010,Gel Pen Set,Stationery,3,6.7,0.15,South,mobile
ORD2025032200009,2025-03-22T00:44:08,C31106,P006,Denim Jeans,Apparel,1,39.52,0.0,North,web
ORD2025032200010,2025-03-22T01:09:19,C34792,P010,Gel Pen Set,Stationery,3,6.69,0.0,East,web
ORD2025032200011,2025-03-22T23:07:15,C38341,P002,USB-C Cable,Electronics,1,14.43,0.05,East,mobile
ORD2025032200012,2025-03-22T12:49:48,C46440,P012,Running Shoes,Apparel,3,88.61,0.05,East,mobile
ORD2025032200013,2025-03-22T09:35:21,C43146,P005,Cotton T-Shirt,Apparel,2,14.17,0.0,East,web
ORD2025032200014,2025-03-22T09:59:28,C02978,P003,Yoga Mat,Fitness,1,28.78,0.0,South,web
ORD2025032200015,2025-03-22T03:08:12,C28803,P004,Resistance Bands,Fitness,1,13.06,0.0,South,mobile
ORD2025032200016,2025-03-22T01:32:03,C14296,P004,Resistance Bands,Fitness,1,15.05,0.05,West,web
ORD2025032200017,2025-03-22T22:42:03,C08317,P009,Notebook A5,Stationery,5,6.78,0.0,East,web
ORD2025032200018,2025-03-22T20:23:28,C12076,P006,Denim Jeans,Apparel,1,53.76,0.0,North,web
ORD2025032200019,2025-03-22T04:56:13,C19018,P011,Bluetooth Speaker,Electronics,1,66.19,0.15,North,web
ORD2025032200020,2025-03-22T19:21:37,C45135,P009,Notebook A5,Stationery,1,4.44,0.0,East,web
ORD2025032200021,2025-03-22T14:27:37,C19230,P001,Wireless Mouse,Electronics,1,37.63,0.0,West,web
ORD2025032200022,2025-03-22T12:38:52,C48087,P007,Coffee Beans 250g,Grocery,1,11.18,0.0,West,store
ORD2025032200023,2025-03-22T14:55:20,C00081,P004,Resistance Bands,Fitness,1,12.15,0.0,East,mobile
ORD2025032200024,2025-03-22T16:29:00,C34324,P008,Olive Oil 500ml,Grocery,4,9.63,0.0,South,store
ORD2025032200025,2025-03-22T15:32:43,C44601,P002,USB-C Cable,Electronics,1,9.71,0.1,South,web
ORD2025032200026,2025-03-22T21:38:46,C42777,P007,Coffee Beans 250g,Grocery,2,15.99,0.0,North,web
ORD2025032200027,2025-03-22T16:54:13,C00886,P003,Yoga Mat,Fitness,1,18.42,0.0,North,store
ORD2025032200028,2025-03-22T19:45:34,C10939,P007,Coffee Beans 250g,Grocery,2,11.34,0.0,West,web
ORD2025032200029,2025-03-22T15:45:00,C10402,P011,Bluetooth Speaker,Electronics,1,79.23,0.2,East,web
ORD2025032200030,2025-03-22T21:07:40,C28974,P005,Cotton T-Shirt,Apparel,5,20.42,0.0,North,mobile
ORD2025032200031,2025-03-22T10:56:26,C02350,P012,Running Shoes,Apparel,2,68.89,0.1,North,web
ORD2025032200032,2025-03-22T05:08:33,C33393,P008,Olive Oil 500ml,Grocery,2,12.39,0.1,West,web
ORD2025032200033,2025-03-22T07:47:24,C07371,P012,Running Shoes,Apparel,5,104.78,0.05,East,mobile
ORD2025032200034,2025-03-22T21:46:37,C16584,P001,Wireless Mouse,Electronics,3,29.88,0.1,West,web
ORD2025032200035,2025-03-22T20:50:53,C01161,P011,Bluetooth Speaker,Electronics,3,56.87,0.1,West,mobile
ORD2025032200036,2025-03-22T17:51:08,C46608,P010,Gel Pen Set,Stationery,2,5.94,0.1,South,web
ORD2025032200037,2025-03-22T21:37:08,C00337,P004,Resistance Bands,Fitness,1,21.42,0.1,South,mobile
ORD2025032200038,2025-03-22T12:20:38,C44697,P009,Notebook A5,Stationery,1,6.32,0.05,East,mobile
ORD2025032200039,2025-03-22T15:32:00,C03548,P002,USB-C Cable,Electronics,3,16.85,0.0,South,web
ORD2025032200040,2025-03-22T06:34:05,C18396,P010,Gel Pen Set,Stationery,1,4.72,0.0,South,web
ORD2025032200041,2025-03-22T07:49:01,C41807,P012,Running Shoes,Apparel,3,102.51,0.0,South,store
ORD2025032200042,2025-03-22T23:19:43,C36005,P008,Olive Oil 500ml,Grocery,1,10.2,0.1,West,mobile
ORD2025032200043,2025-03-22T19:24:50,C14209,P008,Olive Oil 500ml,Grocery,2,12.39,0.0,South,mobile
ORD2025032200044,2025-03-22T13:45:33,C16017,P001,Wireless Mouse,Electronics,1,34.15,0.1,East,store
ORD2025032200045,2025-03-22T23:15:35,C43714,P005,Cotton T-Shirt,Apparel,1,14.45,0.0,East,web
ORD2025032200046,2025-03-22T10:10:15,C45814,P004,Resistance Bands,Fitness,2,13.63,0.0,South,web
ORD2025032200047,2025-03-22T01:35:32,C24150,P009,Notebook A5,Stationery,2,6.02,0.0,West,store
ORD2025032200048,2025-03-22T13:11:45,C48286,P010,Gel Pen Set,Stationery,1,5.86,0.0,West,mobile
ORD2025032200049,2025-03-22T13:27:07,C07572,P012,Running Shoes,Apparel,3,70.06,0.2,West,web
ORD2025032200050,2025-03-22T06:01:45,C09959,P006,Denim Jeans,Apparel,2,43.25,0.0,North,web
ORD2025032200051,2025-03-22T02:51:59,C36996,P008,Olive Oil 500ml,Grocery,1,11.89,0.15,East,mobile
ORD2025032200052,2025-03-22T04:41:12,C17636,P001,Wireless Mouse,Electronics,2,26.57,0.0,South,web
ORD2025032200053,2025-03-22T20:11:00,C13372,P007,Coffee Beans 250g,Grocery,2,14.48,0.1,North,mobile
ORD2025032200054,2025-03-22T07:35:31,C10651,P006,Denim Jeans,Apparel,3,52.02,0.15,West,store
ORD2025032200055,2025-03-22T05:00:11,C05929,P003,Yoga Mat,Fitness,2,18.37,0.05,East,web
ORD2025032200056,2025-03-22T05:29:22,C29831,P001,Wireless Mouse,Electronics,2,25.85,0.1,East,web
ORD2025032200057,2025-03-22T07:00:45,C18949,P005,Cotton T-Shirt,Apparel,1,21.01,0.0,South,mobile
ORD2025032200058,2025-03-22T04:18:47,C49283,P008,Olive Oil 500ml,Grocery,2,15.35,0.05,North,web
ORD2025032200059,2025-03-22T14:18:42,C08346,P006,Denim Jeans,Apparel,1,49.69,0.05,West,mobile
ORD2025032200060,2025-03-22T10:52:49,C38047,P003,Yoga Mat,Fitness,3,22.26,0.0,West,mobile
ORD2025032200061,2025-03-22T00:26:39,C29780,P007,Coffee Beans 250g,Grocery,1,11.31,0.0,South,web
ORD2025032200062,2025-03-22T21:56:16,C19860,P007,Coffee Beans 250g,Grocery,4,16.62,0.15,West,web
ORD2025032200063,2025-03-22T19:48:09,C10598,P010,Gel Pen Set,Stationery,1,4.99,0.1,North,mobile
ORD2025032200064,2025-03-22T15:39:58,C26409,P010,Gel Pen Set,Stationery,1,5.62,0.0,West,mobile
ORD2025032200065,2025-03-22T11:05:57,C00181,P006,Denim Jeans,Apparel,1,63.97,0.0,North,store
ORD2025032200066,2025-03-22T03:59:07,C22389,P011,Bluetooth Speaker,Electronics,1,60.43,0.15,East,mobile
ORD2025032200067,2025-03-22T12:42:43,C46281,P010,Gel Pen Set,Stationery,2,4.74,0.0,North,mobile
ORD2025032200068,2025-03-22T00:06:25,C41586,P005,Cotton T-Shirt,Apparel,1,26.64,0.0,West,web
ORD2025032200069,2025-03-22T22:37:30,C36069,P003,Yoga Mat,Fitness,1,34.96,0.0,East,web
ORD2025032200070,2025-03-22T21:21:06,C42276,P006,Denim Jeans,Apparel,1,60.92,0.0,West,web
ORD2025032200071,2025-03-22T14:26:32,C46524,P012,Running Shoes,Apparel,2,89.52,0.1,North,mobile
ORD2025032200072,2025-03-22T10:48:55,C33214,P012,Running Shoes,Apparel,1,80.11,0.05,West,web
ORD2025032200073,2025-03-22T14:12:20,C49677,P004,Resistance Bands,Fitness,2,12.31,0.15,North,mobile
ORD2025032200074,2025-03-22T19:31:55,C33911,P003,Yoga Mat,Fitness,2,33.07,0.0,North,web
ORD2025032200075,2025-03-22T02:48:09,C07959,P009,Notebook A5,Stationery,3,5.33,0.0,West,mobile
ORD2025032200076,2025-03-22T21:11:25,C45818,P005,Cotton T-Shirt,Apparel,4,19.26,0.15,East,mobile
ORD2025032200077,2025-03-22T11:46:05,C48973,P003,Yoga Mat,Fitness,3,23.85,0.2,North,web
ORD2025032200078,2025-03-22T01:42:05,C24441,P010,Gel Pen Set,Stationery,1,6.91,0.0,East,mobile
ORD2025032200079,2025-03-22T14:05:17,C38313,P006,Denim Jeans,Apparel,2,45.82,0.0,East,store
ORD2025032200080,2025-03-22T12:27:13,C03742,P007,Coffee Beans 250g,Grocery,1,17.46,0.0,West,web
ORD2025032200081,2025-03-22T19:37:59,C35709,P007,Coffee Beans 250g,Grocery,1,14.32,0.0,East,web
ORD2025032200082,2025-03-22T19:28:08,C24313,P005,Cotton T-Shirt,Apparel,1,25.8,0.0,East,web
ORD2025032200083,2025-03-22T04:03:12,C44731,P003,Yoga Mat,Fitness,5,24.61,0.05,West,store
ORD2025032200084,2025-03-22T10:31:45,C34928,P010,Gel Pen Set,Stationery,1,6.34,0.0,South,mobile
ORD2025032200085,2025-03-22T18:25:36,C00205,P009,Notebook A5,Stationery,2,4.74,0.05,North,web
ORD2025032200086,2025-03-22T16:58:49,C36053,P007,Coffee Beans 250g,Grocery,3,16.8,0.05,North,web
ORD2025032200087,2025-03-22T03:22:34,C08849,P001,Wireless Mouse,Electronics,2,25.38,0.0,South,web
ORD2025032200088,2025-03-22T20:19:59,C44846,P006,Denim Jeans,Apparel,1,47.66,0.2,East,web
ORD2025032200089,2025-03-22T05:01:14,C26118,P001,Wireless Mouse,Electronics,2,38.84,0.0,West,web
ORD2025032200090,2025-03-22T11:42:29,C24635,P005,Cotton T-Shirt,Apparel,1,24.03,0.05,South,mobile
ORD2025032200091,2025-03-22T09:27:48,C05430,P004,Resistance Bands,Fitness,5,14.94,0.05,West,mobile
ORD2025032200092,2025-03-22T12:54:20,C27154,P010,Gel Pen Set,Stationery,2,4.32,0.0,East,store
